id,database,title,authors,year,journal_type,journal,citations,url,pdf
87,Google Scholar,StRE: Self attentive edit quality prediction in Wikipedia,"S Sarkar, BP Reddy, S Sikdar, A Mukherjee",2019,unknown,"arXiv preprint arXiv …, 2019",10,https://arxiv.org/abs/1906.04678,https://arxiv.org/pdf/1906.04678
88,Google Scholar,The role of conflict in determining consensus on quality in Wikipedia articles,K Osman,2013,Conference,"Proceedings of the 9th International Symposium on …, 2013",16,https://dl.acm.org/doi/abs/10.1145/2491055.2491067,https://eprints.qut.edu.au/64185/1/Osman_WikiSym13_Theroleofconflict.pdf
89,Google Scholar,Quality assessment of wikipedia articles: A deep learning approach by quang vinh dang and claudia-lavinia ignat with martin vesely as coordinator,"QV Dang, CL Ignat",2016,unknown,"ACM SIGWEB Newsletter, 2016",13,https://dl.acm.org/doi/abs/10.1145/2996442.2996447,https://hal.archives-ouvertes.fr/hal-01393227/file/sigweb_newsletter_latex.pdf
90,Google Scholar,Evaluating the trustworthiness of Wikipedia articles through quality and credibility,"ST Moturu, H Liu",2009,Conference,"Proceedings of the 5th international symposium on …, 2009",23,https://dl.acm.org/doi/abs/10.1145/1641309.1641349,https://opensym.org/ws2009/Proceedings/p127-moturu.pdf
91,Google Scholar,The quality of content in open online collaboration platforms: Approaches to NLP-supported information quality management in Wikipedia,O Ferschke,2014,unknown,2014,28,https://tuprints.ulb.tu-darmstadt.de/4092/1/Thesis_OF_published_print.pdf,https://tuprints.ulb.tu-darmstadt.de/4092/1/Thesis_OF_published_print.pdf
92,Google Scholar,A matter of words: NLP for quality evaluation of Wikipedia medical articles,"V Cozza, M Petrocchi, A Spognardi",2016,Conference,"International Conference on Web …, 2016",16,https://link.springer.com/chapter/10.1007/978-3-319-38791-8_31,https://arxiv.org/pdf/1603.01987
93,Google Scholar,Analyzing Wikipedia users' perceived quality of experience: A large-scale study,"F Salutari, D Da Hora, G Dubuc…",2020,unknown,"IEEE Transactions on …, 2020",10,https://ieeexplore.ieee.org/abstract/document/9025257/,N/A
94,Google Scholar,Indicator of quality for environmental articles on Wikipedia at the higher education level,"E Petiška, B Moldan",2021,Journal,"Journal of Information Science, 2021",4,https://journals.sagepub.com/doi/abs/10.1177/0165551519888607,https://journals.sagepub.com/doi/pdf/10.1177/0165551519888607
95,Google Scholar,Mining team characteristics to predict Wikipedia article quality,"GG Betancourt, A Segnine, C Trabuco…",2016,Conference,"Proceedings of the 12th …, 2016",10,https://dl.acm.org/doi/abs/10.1145/2957792.2971802,https://hal.archives-ouvertes.fr/hal-01354368/document
96,Google Scholar,Estimating the quality of articles in Russian Wikipedia using the logical-linguistic model of fact extraction,"N Khairova, W Lewoniewski, K Węcel",2017,Conference,"International Conference on …, 2017",14,https://link.springer.com/chapter/10.1007/978-3-319-59336-4_3,https://www.researchgate.net/profile/Wlodzimierz-Lewoniewski/publication/318133283_Estimating_the_Quality_of_Articles_in_Russian_Wikipedia_Using_the_Logical-Linguistic_Model_of_Fact_Extraction/links/59ef4c4caca2721ca5e93492/Estimating-the-Quality-of-Articles-in-Russian-Wikipedia-Using-the-Logical-Linguistic-Model-of-Fact-Extraction.pdf
97,Google Scholar,"Quality change: norm or exception? Measurement, Analysis and Detection of Quality Change in Wikipedia","P Das, BPR Guda, SB Seelaboyina, S Sarkar…",2022,Conference,"Proceedings of the …, 2022",0,https://dl.acm.org/doi/abs/10.1145/3512959,https://arxiv.org/pdf/2111.01496
